,Image,F1,Jaccard,Recall,Precision
152,2992.png,0.9647019084614086,0.931810766721044,0.9684638860630722,0.9609690444145357
153,1968.png,0.9029329608938548,0.8230426479949077,0.8813905930470347,0.9255547602004295
154,1191.png,0.907679033649698,0.8309636650868878,0.8930390492359932,0.9228070175438596
155,2956.png,0.8820895522388059,0.7890520694259012,0.8008130081300813,0.9817275747508306
156,2187.png,0.8576214405360134,0.750733137829912,0.9808429118773946,0.7619047619047619
157,2248.png,0.8922155688622755,0.8054054054054054,0.838963963963964,0.9526854219948849
158,1452.png,0.9287211740041929,0.8669275929549902,0.8949494949494949,0.9651416122004357
159,2525.png,0.7690655209452201,0.62478184991274,0.768790264853257,0.7693409742120344
160,1108.png,0.728358208955224,0.5727699530516432,0.6069651741293532,0.9104477611940298
161,2787.png,0.8198961464881115,0.6947660954145438,0.9375,0.7285089849441476
162,602.png,0.9356371490280777,0.8790584415584416,0.8869778869778869,0.9899451553930531
163,227.png,0.7786032689450223,0.6374695863746959,0.966789667896679,0.6517412935323383
164,1567.png,0.8366336633663367,0.7191489361702128,0.9883040935672515,0.7253218884120172
165,1076.png,0.0,0.0,0.0,0.0
166,2565.png,0.9587916116732659,0.9208450704225352,0.9456175875036158,0.9723378941106484
167,1075.png,0.02345058626465662,0.011864406779661017,0.011864406779661017,1.0
168,824.png,0.5902449063593332,0.41868613138686134,0.4199121522693997,0.9930747922437673
169,2543.png,0.9228958210712184,0.8568306010928962,1.0,0.8568306010928962
170,460.png,0.9519797809604045,0.9083601286173634,0.923202614379085,0.9826086956521739
171,1751.png,0.9613899613899615,0.9256505576208178,0.9576923076923077,0.9651162790697675
172,1390.png,0.9353233830845772,0.8785046728971962,0.8855989232839838,0.9909638554216867
173,754.png,0.7979763912310287,0.6638608305274972,0.7262124002455494,0.8854790419161677
174,117.png,0.5638465580662113,0.39260885473838275,0.4084507042253521,0.9100932994062765
175,941.png,0.8571428571428572,0.75,0.858603066439523,0.8556876061120543
176,347.png,0.9451945988880064,0.8960843373493976,0.9535256410256411,0.937007874015748
177,247.png,0.9260143198090693,0.8622222222222222,0.9675810473815462,0.8878718535469108
178,837.png,0.0,0.0,0.0,0.0
179,1225.png,0.6175824175824175,0.4467408585055644,0.8949044585987261,0.4714765100671141
180,1428.png,0.9655172413793103,0.9333333333333333,0.9451476793248945,0.986784140969163
181,2926.png,0.4795486600846262,0.31539888682745826,0.3165735567970205,0.9883720930232558
182,1774.png,0.9103713188220229,0.8354876615746181,0.9699863574351978,0.8576598311218335
183,2107.png,0.9027201475334254,0.8226890756302521,0.8940639269406393,0.9115456238361266
184,552.png,0.9332003988035893,0.874766355140187,0.9669421487603306,0.9017341040462428
185,925.png,0.957064793130367,0.9176646706586826,0.9373088685015291,0.9776714513556619
186,284.png,0.0,0.0,0.0,0.0
187,2780.png,0.0,0.0,0.0,0.0
188,860.png,0.8809774040987913,0.7872740079830947,0.7926713947990544,0.9914251921939681
189,375.png,0.9802666666666666,0.9612970711297071,0.9842913245269547,0.9762747875354107
190,834.png,0.8820846905537459,0.789044289044289,0.9671428571428572,0.8107784431137725
191,2642.png,0.0,0.0,0.0,0.0
192,1375.png,0.8135593220338984,0.6857142857142857,1.0,0.6857142857142857
193,681.png,0.9808489634748272,0.962417667570709,0.9841521394611727,0.9775678866587958
194,384.png,0.9712475633528265,0.9441023211747986,0.9925298804780877,0.9508587786259542
195,2154.png,0.0,0.0,0.0,0.0
196,1657.png,0.9217391304347825,0.8548387096774194,0.9875776397515528,0.8641304347826086
197,69.png,0.9572039942938659,0.9179206566347469,0.9940740740740741,0.922971114167813
198,1568.png,0.9144144144144144,0.8423236514522822,0.9398148148148148,0.8903508771929824
199,222.png,0.9785247432306257,0.9579524680073126,0.9650092081031307,0.9924242424242424
200,269.png,0.8958880139982501,0.8114104595879557,0.9642184557438794,0.8366013071895425
201,3041.png,0.46808510638297873,0.3055555555555556,0.3235294117647059,0.8461538461538461
202,1043.png,0.925561797752809,0.8614379084967321,0.8821954484605087,0.9734121122599705
203,2479.png,0.8578451454322,0.7510760401721664,0.8948717948717949,0.8237608182533438
204,2550.png,0.5333333333333333,0.36363636363636365,0.5798165137614679,0.49375
205,393.png,0.0,0.0,0.0,0.0
206,110.png,0.4241823587710604,0.2691823899371069,0.27261146496815286,0.9553571428571429
207,3033.png,0.7662254208970569,0.6210416666666667,0.6250786328370728,0.9897078353253652
208,2233.png,0.5074778200253486,0.34001358695652173,0.8433024431339511,0.3629441624365482
209,2965.png,0.5865746549560854,0.41500221926320463,0.41778373547810543,0.9842105263157894
210,581.png,0.9808068938503721,0.962336664104535,0.9842767295597484,0.9773614363778298
211,1089.png,0.846195358877496,0.7333956969130028,0.7417218543046358,0.9849246231155779
212,2627.png,0.6600660066006601,0.49261083743842365,0.5018820577164367,0.963855421686747
